time_s,p_rads,q_rads,r_rads,H_inertial_mag,T_rot_J,T_drift_rel
1.2300000000,0.0490235881,0.3621112062,0.4346624402,0.0052237094,0.0014765387,-0.2184093558
1.2350000000,0.0485864429,0.3620296960,0.4343866896,0.0052210990,0.0014750667,-0.2191885497
1.2400000000,0.0481499044,0.3619473579,0.4341115665,0.0052184899,0.0014735962,-0.2199669510
1.2450000000,0.0477139724,0.3618641945,0.4338370699,0.0052158821,0.0014721272,-0.2207445606
1.2500000000,0.0472786466,0.3617802085,0.4335631987,0.0052132757,0.0014706597,-0.2215213794
1.2550000000,0.0468439271,0.3616954026,0.4332899519,0.0052106706,0.0014691936,-0.2222974085
1.2600000000,0.0464098136,0.3616097794,0.4330173282,0.0052080669,0.0014677291,-0.2230726487
1.2650000000,0.0459763061,0.3615233416,0.4327453267,0.0052054645,0.0014662660,-0.2238471011
1.2700000000,0.0455434043,0.3614360917,0.4324739463,0.0052028635,0.0014648045,-0.2246207665
1.2750000000,0.0451111081,0.3613480325,0.4322031858,0.0052002637,0.0014633444,-0.2253936459
1.2800000000,0.0446794174,0.3612591665,0.4319330442,0.0051976654,0.0014618858,-0.2261657403
1.2850000000,0.0442483321,0.3611694963,0.4316635204,0.0051950683,0.0014604287,-0.2269370505
1.2900000000,0.0438178518,0.3610790246,0.4313946133,0.0051924726,0.0014589730,-0.2277075776
1.2950000000,0.0433879766,0.3609877539,0.4311263217,0.0051898782,0.0014575189,-0.2284773224
1.3000000000,0.0429587062,0.3608956869,0.4308586446,0.0051872852,0.0014560662,-0.2292462859
1.3050000000,0.0425300405,0.3608028261,0.4305915809,0.0051846935,0.0014546150,-0.2300144690
1.3100000000,0.0421019793,0.3607091741,0.4303251295,0.0051821031,0.0014531652,-0.2307818727
1.3150000000,0.0416745224,0.3606147335,0.4300592893,0.0051795140,0.0014517170,-0.2315484979
1.3200000000,0.0412476697,0.3605195068,0.4297940591,0.0051769263,0.0014502702,-0.2323143456
1.3250000000,0.0408214209,0.3604234966,0.4295294378,0.0051743399,0.0014488248,-0.2330794166
1.3300000000,0.0403957759,0.3603267055,0.4292654244,0.0051717548,0.0014473810,-0.2338437118
1.3350000000,0.0399707345,0.3602291359,0.4290020177,0.0051691711,0.0014459386,-0.2346072323
1.3400000000,0.0395462965,0.3601307904,0.4287392165,0.0051665887,0.0014444976,-0.2353699789
1.3450000000,0.0391224618,0.3600316716,0.4284770199,0.0051640076,0.0014430582,-0.2361319526
1.3500000000,0.0386992301,0.3599317819,0.4282154266,0.0051614278,0.0014416201,-0.2368931542
1.3550000000,0.0382766012,0.3598311239,0.4279544355,0.0051588493,0.0014401836,-0.2376535847
1.3600000000,0.0378545750,0.3597297000,0.4276940456,0.0051562722,0.0014387485,-0.2384132451
1.3650000000,0.0374331512,0.3596275129,0.4274342556,0.0051536964,0.0014373148,-0.2391721361
1.3700000000,0.0370123297,0.3595245649,0.4271750644,0.0051511219,0.0014358826,-0.2399302588
