time_s,h_m,v_vert_mps,v_horiz_mps,E_total_J,E_drift_rel
12.66000000,2261.84818200,124.19460000,0.00000000,29900.88000000,0.00000000
12.69000000,2258.11792950,124.48890000,0.00000000,29900.88000000,0.00000000
12.72000000,2254.37884800,124.78320000,0.00000000,29900.88000000,0.00000000
12.75000000,2250.63093750,125.07750000,0.00000000,29900.88000000,0.00000000
12.78000000,2246.87419800,125.37180000,0.00000000,29900.88000000,0.00000000
12.81000000,2243.10862950,125.66610000,0.00000000,29900.88000000,0.00000000
12.84000000,2239.33423200,125.96040000,0.00000000,29900.88000000,0.00000000
12.87000000,2235.55100550,126.25470000,0.00000000,29900.88000000,0.00000000
12.90000000,2231.75895000,126.54900000,0.00000000,29900.88000000,0.00000000
12.93000000,2227.95806550,126.84330000,0.00000000,29900.88000000,0.00000000
12.96000000,2224.14835200,127.13760000,0.00000000,29900.88000000,0.00000000
12.99000000,2220.32980950,127.43190000,0.00000000,29900.88000000,0.00000000
13.02000000,2216.50243800,127.72620000,0.00000000,29900.88000000,0.00000000
13.05000000,2212.66623750,128.02050000,0.00000000,29900.88000000,0.00000000
13.08000000,2208.82120800,128.31480000,0.00000000,29900.88000000,0.00000000
13.11000000,2204.96734950,128.60910000,0.00000000,29900.88000000,0.00000000
13.14000000,2201.10466200,128.90340000,0.00000000,29900.88000000,0.00000000
13.17000000,2197.23314550,129.19770000,0.00000000,29900.88000000,0.00000000
13.20000000,2193.35280000,129.49200000,0.00000000,29900.88000000,0.00000000
13.23000000,2189.46362550,129.78630000,0.00000000,29900.88000000,0.00000000
13.26000000,2185.56562200,130.08060000,0.00000000,29900.88000000,0.00000000
13.29000000,2181.65878950,130.37490000,0.00000000,29900.88000000,0.00000000
13.32000000,2177.74312800,130.66920000,0.00000000,29900.88000000,0.00000000
13.35000000,2173.81863750,130.96350000,0.00000000,29900.88000000,0.00000000
13.38000000,2169.88531800,131.25780000,0.00000000,29900.88000000,0.00000000
13.41000000,2165.94316950,131.55210000,0.00000000,29900.88000000,0.00000000
13.44000000,2161.99219200,131.84640000,0.00000000,29900.88000000,0.00000000
13.47000000,2158.03238550,132.14070000,0.00000000,29900.88000000,0.00000000
13.50000000,2154.06375000,132.43500000,0.00000000,29900.88000000,0.00000000
13.53000000,2150.08628550,132.72930000,0.00000000,29900.88000000,0.00000000
13.56000000,2146.09999200,133.02360000,0.00000000,29900.88000000,0.00000000
13.59000000,2142.10486950,133.31790000,0.00000000,29900.88000000,0.00000000
13.62000000,2138.10091800,133.61220000,0.00000000,29900.88000000,0.00000000
13.65000000,2134.08813750,133.90650000,0.00000000,29900.88000000,0.00000000
13.68000000,2130.06652800,134.20080000,0.00000000,29900.88000000,0.00000000
13.71000000,2126.03608950,134.49510000,0.00000000,29900.88000000,0.00000000
13.74000000,2121.99682200,134.78940000,0.00000000,29900.88000000,0.00000000
13.77000000,2117.94872550,135.08370000,0.00000000,29900.88000000,0.00000000
13.80000000,2113.89180000,135.37800000,0.00000000,29900.88000000,0.00000000
