u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
179.0135337482,-0.0000000000,17.3149516596,0.0000000000,-0.0000831170,0.0000000000,0.9985863821,-0.0000000000,0.0531529639,0.0000000000,280.6677988011,0.0000000000,-9002.8004380514
179.0116284480,-0.0000000000,17.3147888396,0.0000000000,-0.0000850404,0.0000000000,0.9985864267,-0.0000000000,0.0531521243,0.0000000000,284.2645817557,0.0000000000,-9002.8361583195
179.0097241326,-0.0000000000,17.3146239094,0.0000000000,-0.0000869570,0.0000000000,0.9985864725,-0.0000000000,0.0531512655,0.0000000000,287.8613265422,0.0000000000,-9002.8718716853
179.0078208042,-0.0000000000,17.3144569200,0.0000000000,-0.0000888655,0.0000000000,0.9985865192,-0.0000000000,0.0531503876,0.0000000000,291.4580331771,0.0000000000,-9002.9075780545
179.0059184648,-0.0000000000,17.3142879254,0.0000000000,-0.0000907650,0.0000000000,0.9985865669,-0.0000000000,0.0531494907,0.0000000000,295.0547016772,0.0000000000,-9002.9432773326
179.0040171158,-0.0000000000,17.3141169828,0.0000000000,-0.0000926544,0.0000000000,0.9985866157,-0.0000000000,0.0531485749,0.0000000000,298.6513320592,0.0000000000,-9002.9789694244
179.0021167586,-0.0000000000,17.3139441524,0.0000000000,-0.0000945328,0.0000000000,0.9985866654,-0.0000000000,0.0531476403,0.0000000000,302.2479243402,0.0000000000,-9003.0146542345
179.0002173941,-0.0000000000,17.3137694967,0.0000000000,-0.0000963993,0.0000000000,0.9985867161,-0.0000000000,0.0531466870,0.0000000000,305.8444785372,0.0000000000,-9003.0503316669
178.9983190231,-0.0000000000,17.3135930809,0.0000000000,-0.0000982528,0.0000000000,0.9985867679,-0.0000000000,0.0531457151,0.0000000000,309.4409946676,0.0000000000,-9003.0860016252
178.9964216458,-0.0000000000,17.3134149727,0.0000000000,-0.0001000927,0.0000000000,0.9985868206,-0.0000000000,0.0531447247,0.0000000000,313.0374727486,0.0000000000,-9003.1216640128
